matricula_hash,setor,faixa_etaria,sexo,nota_lideranca,nota_ambiente
e39eef82f61b21e2e7f762fcc4307358f165757f2e77ec855d6992f7e0191932,Loja Norte,30-44,F,3,4
46372791018924b8cbc444334300f85a211d2f29a56f2bb4890780b5983fc201,Loja Norte,30-44,M,4,2
582c0168ba17eac49642bc85ae623204069e8d6ea06cf45af11e7de46ea31d18,Loja Norte,18-29,M,5,5
60f256c7ccbc748036024fa0440e45fe1574db20a874e4041a16faf0105a01ff,Loja Norte,30-44,M,5,2
a73060afb61efe1b7c817645d00c342df02407f65435a64c88d251d56150ff42,Loja Norte,18-29,F,5,3
d9a5223b761c375d1263e6e57ebec42d3e0fe3f6f283488d2eb204fb6ff17ee5,Loja Norte,45-59,M,2,2
2f1987bf98c09d2f5d2a23a6ae29fa53b9aec8f07ed1330bd439122f5a1a2c2c,Loja Norte,45-59,M,1,3
3e34b5dc434bcf3186f089d362691cfac1b17231601f2f402dc79015be878d83,Loja Norte,45-59,M,5,5
340ab11db8d1a7435cb4b4a0492a9eee7b8e388e3e4a1714bcd3b69df3d8f1e1,Loja Norte,45-59,M,5,3
f8b7291025863577c250b562e8aa0d7a70387bc67029915cd5c2dfda40a9e055,Loja Norte,30-44,F,5,1
6719009a76851c4bed2fcdea10b635c1bd58bf12af0c1fea3a470a87d3ee6995,Loja Norte,18-29,M,2,1
f46733e1619957ff5bb51ea0272a2d8d73376cabd24f44461061c2caca2430aa,Loja Norte,45-59,F,2,3
56cc29cee9e859a5314952b8184da882e2482d7bc17234b4ca333bfffe5f74f3,Loja Norte,18-29,M,3,2
920c37d6464a8f20e8930c1980560dfd8ab7183334a20fa9447ecd5edb7a83b8,Loja Norte,18-29,M,2,5
0c1c43111448b131d65b3b380041de26f2edd6264ee1c371184f54d26ab53365,Loja Norte,18-29,M,4,1
00037f39cf870a1f49129f9c82d935665d352ffd25ea3296208f6f7b16fd654f,Loja Norte,45-59,F,5,4
0d21ae129a64e1d19e4a94dfca3a67c777e17374e9d4ca2f74b65647a88119ea,Loja Norte,18-29,M,1,4
8c6c42f379f08f03b79653a3230abd5e8079999435030fd8ca703ae35fe9b37a,Logística,30-44,M,3,5
216da54b5931a6d37cca8e29953361fe02c680bbd8b482343f508e32e8e9cc3b,Logística,18-29,F,3,2
c0aa4a0be7ba28399b09a68835a21755f442e25f8e0971b1d1ea3a6c749f0385,Logística,45-59,M,2,3
a0a531122de465614efef1078901475b2d78b72b13d67968bd2bb7bd8558ae67,Logística,45-59,F,2,3
40794500a2845c943a0f4910461d9c39868a2930f689d2dfa9659625aa7a15cc,Logística,30-44,F,1,2
6db44caad5c968a5ec334024daa615d29998fa79f82797cc12141871d0ffbd7b,Logística,18-29,F,4,1
025ca19d7b07d7f554fd7cd060b628e628d0f607afa3a6fde17c4488f35716d2,Logística,30-44,M,5,3
6d6ae523edc27b235030584adf12a890bf2b3c209da5b11b97d6b58c3ed66f60,Logística,18-29,F,5,3
0c62cc42d6479a691f03083654ab6a7a84229ab156c948ba8d3b6c79ddd95536,Logística,18-29,M,4,2
ffa6059b954a4602a9fa1518d10ca6163bce3f9d4bd3ee51c860eb6c2da16675,Logística,18-29,F,3,5
11382b8de6b4b042f25bf021335d31c09f2f23ae80ca4dafc63214691dfb3dae,Logística,18-29,M,4,5
d8b5e2791d0d1cee319ee3def0e4631852bfcb329e06feb1c6ee6add251509ae,Logística,45-59,M,1,3
285b71922aaa01d870483d3b4f59e4a61c2057e1476854a810f387a1d2317806,Logística,45-59,F,2,5
7d7179c146d0d6af4ebd304ab799a718fe949a8dcd660cd6d12fb97915f9ab0a,Logística,18-29,F,4,5
02abf8fa7d9c4db035df33acba2dcd495ae9af91152ea9a135533cb747eb3afc,Logística,45-59,M,1,3
e8c5e943ad4fd9d115c2baacd110acddee7f66ec24aa177efa6780f5641ce277,Jurídico,18-29,F,3,3
b910260d6ccd1fedb9919e9974c4b1eacf7ff1e3a4643c05cf423de2f221c06a,Jurídico,30-44,M,2,5
fb5316204aa75301303e70a2e9555cf9cbb1457356a041dd58a88e003aca9142,Diretoria,45-59,M,5,1
